year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,pue
2022,Amazon Web Services,cn-north-1,,,,China (Beijing),"39.904,116.4075 ",1.200
2022,Amazon Web Services,cn-northwest-1,,,,China (Ningxia),"38.4795,106.2254 ",1.200
2024,Microsoft Azure,eastus,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",1.170
2024,Microsoft Azure,eastus2,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",1.170
2024,Microsoft Azure,southcentralus,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",1.170
2024,Microsoft Azure,westus2,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,westus3,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,australiaeast,Victoria,AUS-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",1.405
2024,Microsoft Azure,southeastasia,Singapore,SG,SGP,Singapore,"1.3,103.8",1.405
2024,Microsoft Azure,northeurope,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",1.185
2024,Microsoft Azure,swedencentral,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",1.185
2024,Microsoft Azure,uksouth,Great Britain,GB,UK,London,"51.726,-0.3",1.185
2024,Microsoft Azure,westeurope,France,FR,FR,Europe (Paris),"48.8567,2.3522",1.185
2024,Microsoft Azure,centralus,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",1.170
2024,Microsoft Azure,southafricanorth,South Africa,ZA,ZA,Africa (Cape Town),"-33.9253,18.4239 ",1.185
2024,Microsoft Azure,centralindia,India,,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",1.405
2024,Microsoft Azure,eastasia,Hong Kong,HK,HK,Asia Pacific (Hong Kong),"22.3,114.2",1.405
2024,Microsoft Azure,japaneast,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",1.405
2024,Microsoft Azure,koreacentral,South Korea,KR,KOR,Seoul,"37.56,126.99",1.405
2024,Microsoft Azure,canadacentral,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",1.170
2024,Microsoft Azure,francecentral,France,FR,FR,Paris,"48.8567,2.3522",1.185
2024,Microsoft Azure,germanywestcentral,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",1.185
2024,Microsoft Azure,italynorth,North Italy,IT,IT,Europe (Milan),"45.4669,9.19",1.185
2024,Microsoft Azure,norwayeast,Norway,NO,NO,Europe(Bergen),"60.3894,5.33 ",1.185
2024,Microsoft Azure,polandcentral,Poland,PL,PL,Warsaw,"52.23,21.0111",1.185
2024,Microsoft Azure,switzerlandnorth,Switzerland,CH,CH,Zurich,"47.3744,8.5411",1.185
2024,Microsoft Azure,uaenorth,UAE,AE,AE,Middle East (UAE),"25.2631,55.2972 ",1.185
2024,Microsoft Azure,brazilsouth,South Brazil,BR-CS,BRA,Brazil,"-3.45,-68.95",1.170
2024,Microsoft Azure,centraluseuap,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",1.170
2024,Microsoft Azure,israelcentral,Israel,IL,IL,Israel (Tel Aviv),"32.0167,34.7667",1.185
2024,Microsoft Azure,qatarcentral,Qatar,QT,QT,Qatar,"25.69,51.51 ",1.185
2024,Microsoft Azure,centralusstage,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",1.170
2024,Microsoft Azure,eastusstage,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",1.170
2024,Microsoft Azure,eastus2stage,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",1.170
2024,Microsoft Azure,northcentralusstage,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",1.170
2024,Microsoft Azure,southcentralusstage,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",1.170
2024,Microsoft Azure,westusstage,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,westus2stage,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,asia,Hong Kong,HK,HK,Asia Pacific (Hong Kong),"22.3,114.2",1.405
2024,Microsoft Azure,asiapacific,Singapore,SG,SGP,Singapore,"1.3,103.8",1.405
2024,Microsoft Azure,australia,Victoria,AUS-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",1.405
2024,Microsoft Azure,brazil,Brazil,BR-CS,BRA,Brazil,"-3.45,-68.95",1.170
2024,Microsoft Azure,canada,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",1.170
2024,Microsoft Azure,europe,France,FR,FR,Europe (Paris),"48.8567,2.3522",1.185
2024,Microsoft Azure,france,France,FR,FR,Paris,"48.8567,2.3522",1.185
2024,Microsoft Azure,germany,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",1.185
2024,Microsoft Azure,global,,,,,,1.180
2024,Microsoft Azure,india,India,,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",1.405
2024,Microsoft Azure,japan,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",1.405
2024,Microsoft Azure,korea,South Korea,KR,KOR,Seoul,"37.56,126.99",1.405
2024,Microsoft Azure,norway,Norway,NO,NO,Europe(Bergen),"60.3894,5.33 ",1.185
2024,Microsoft Azure,singapore,Singapore,SG,SGP,Singapore,"1.3,103.8",1.405
2024,Microsoft Azure,southafrica,South Africa,ZA,ZA,Africa (Cape Town),"-33.9253,18.4239 ",1.185
2024,Microsoft Azure,sweden,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",1.185
2024,Microsoft Azure,switzerland,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",1.185
2024,Microsoft Azure,uae,UAE,AE,AE,Middle East (UAE),"25.2631,55.2972 ",1.185
2024,Microsoft Azure,uk,Great Britain,GB,UK,London,"51.726,-0.3",1.185
2024,Microsoft Azure,unitedstates,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,unitedstateseuap,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"34.0497,-118.1326 ",1.170
2024,Microsoft Azure,eastasiastage,Singapore,SG,SGP,Singapore,"1.3,103.8",1.405
